package_name,downloads
@toolbox-sdk/server-darwin-arm64,3772
@movable/fluid,3760
@dynatrace/oneagent-dependency,3715
unicode-10.0.0,3710
@lightdash/sdk,3705
happy-coder,3697
@digabi/exam-engine-exams,3694
conductor-oss,3684
react-native-user-identity,3616
cdk-amazon-chime-resources,3590
@f5xc-salesdemos/pi-natives-darwin-x64,3563
bare-ffmpeg,3546
@chrryai/waffles,3493
geoip-lite2,3455
hopcoderx-linux-x64,3454
rescript-relay,3452
@bsport/common,3367
@nutrient-sdk/node,3329
hopcoderx-linux-x64-musl,3317
agent-mockingbird,3306
@embedded-postgres/darwin-x64,3291
hopcoderx-linux-x64-baseline-musl,3288
@realtimex/node-llama-cpp-linux-x64-cuda,3283
hopcoderx-linux-x64-baseline,3277
slopcode-bin-linux-arm64-musl,3271
bymorning-ai-linux-x64-musl,3258
react-native-wgpu,3241
@kong/spec-renderer,3231
bymorning-ai-linux-x64-baseline,3221
bymorning-ai-linux-x64-baseline-musl,3207
hopcoderx-windows-x64-baseline,3206
@sencha/cmd-linux-64,3191
bymorning-ai-linux-x64,3182
hopcoderx-windows-x64,3177
britecharts,3164
effect-solutions,3161
hopcoderx-linux-arm64-musl,3157
@realtimex/node-llama-cpp-win-x64-cuda,3137
bymorning-ai-windows-x64,3122
bymorning-ai-darwin-arm64,3085
bymorning-ai-linux-arm64,3080
@material-symbols-svg/react,3050
bymorning-ai-linux-arm64-musl,3049
bymorning-ai-darwin-x64-baseline,3046
unframer,3045
bymorning-ai-darwin-x64,3040
hopcoderx-linux-arm64,3039
@finbourne/lusid-sdk-angular18,3033
smart-webcomponents-angular,3029
@dittolive/ditto,2969
slopcode-bin-linux-x64-baseline-musl,2948
slopcode-bin-linux-x64,2943
slopcode-bin-linux-x64-baseline,2935
slopcode-bin-linux-x64-musl,2927
ffmpeg-static-electron,2915
@kolbo/kolbo-code-linux-x64,2889
@veupathdb/genomics-site,2873
@qvac/onnx,2870
@microsoft/sp-webpart-workbench,2870
@roninbuilders/contracts,2869
@lunapaint/tga-codec,2850
aspose.cells.node.linux.x64,2818
@kolbo/kolbo-code-linux-x64-baseline,2811
@kolbo/kolbo-code-linux-x64-musl,2806
@htmlbricks/hb-player-input-streaming,2757
@kolbo/kolbo-code-linux-x64-baseline-musl,2757
@kolbo/kolbo-code-windows-x64-baseline,2749
name-suggestion-index,2740
@kolbo/kolbo-code-windows-arm64,2735
@htmlbricks/hb-player-live,2719
processmaker-builder,2693
slopcode-bin-linux-arm64,2683
@oicl/openbridge-webcomponents,2683
hermes-engine-cli,2681
slopcode-bin-windows-x64,2679
@kolbo/kolbo-code-linux-arm64,2665
slopcode-bin-darwin-x64-baseline,2659
slopcode-bin-darwin-arm64,2655
@kolbo/kolbo-code-windows-x64,2646
slopcode-bin-windows-x64-baseline,2643
bmad-agent-init,2635
@kolbo/kolbo-code-darwin-arm64,2624
@deno/win32-x64,2602
slopcode-bin-darwin-x64,2601
@toolbox-sdk/server-win32-x64,2599
@postman/pm-bin-linux-x64,2594
@ensdomains/ens-contracts,2593
@ketryx/cli-linux-x64,2586
yongruizhang-blogimg,2582
bids-validator,2582
pretendard-gov,2576
@minecraft/creator-tools,2572
heraldvox-cli,2569
@kolbo/kolbo-code-darwin-x64-baseline,2566
@kolbo/kolbo-code-darwin-x64,2537
@clerk/cli-win32-x64,2519
