package,version,fan_in_global,fan_out_global,jt_in_degree,jt_out_degree,jt_instability,global_instability,jt_dependency_score,msr_ecosystem_risk_score
@dharmaprotocol/contracts,0.1.24,2,45,0,0,1.0000,0.9574,45,4.57
websnark,0.0.5,18,10,0,0,1.0000,0.3571,10,4.57
@sourcegraph/cody,5.5.26,2,43,0,0,1.0000,0.9556,43,4.56
myui-bootstrap-kr,1.0.0,2,43,0,0,1.0000,0.9556,43,4.56
@_unit/unit,1.0.121,2,41,1,1,0.9762,0.9535,42,4.55
@neo4j-cypher/language-support,2.0.0-next.6,5,7,0,0,1.0000,0.5833,7,4.54
@vladmandic/human-models,3.0.4,5,7,2,0,0.7778,0.5833,9,4.54
@kiwicom/translations,1.601.966,11,8,0,0,1.0000,0.4211,8,4.54
@envanik/exchange-contracts,0.0.1,2,38,0,0,1.0000,0.9500,37,4.53
@octokit/openapi,22.0.0,3,9,0,0,1.0000,0.7500,9,4.52
@anyone-protocol/anyone-client,1.1.3,3,9,0,0,1.0000,0.7500,9,4.52
@gzued/antd-compiled,4.24.1-4.8,3,9,0,0,1.0000,0.7500,9,4.52
@jonbrennecke/react-native-media,1.0.43-alpha.1,2,34,1,1,0.9714,0.9444,35,4.51
ipsamqui,1.19.0,2,33,0,0,1.0000,0.9429,33,4.50
bare-ffmpeg,1.2.2,4,7,0,0,1.0000,0.6364,7,4.45
@rlmartin-projen/cdktf-project,8.0.0,2,28,0,1,1.0000,0.9333,26,4.45
@fmsim/fmsim-restful,2.0.0-beta.81,2,26,0,0,1.0000,0.9286,26,4.43
guide4you,3.4.0,2,26,0,0,1.0000,0.9286,26,4.43
powerdlz23,1.2.5,28,12,0,1,1.0000,0.3000,12,4.39
@hugeicons/react-pro,0.3.2,2,21,0,0,1.0000,0.9130,21,4.36
innoq-styleguide,16.0.15,2,21,0,0,1.0000,0.9130,21,4.36
distilled-aws,0.1.1,2,20,0,0,1.0000,0.9091,20,4.34
obs-studio-node,0.10.10,2,20,0,0,1.0000,0.9091,20,4.34
@theforeman/vendor,16.0.0,2,20,0,0,1.0000,0.9091,20,4.34
openapi-directory,1.3.17,2,19,0,0,1.0000,0.9048,19,4.32
@gooddata/fixtures,3.6.0,2,19,0,0,1.0000,0.9048,19,4.32
bdk-rn,0.30.0,2,19,0,0,1.0000,0.9048,19,4.32
react-native-myapp,0.0.1,2,19,0,0,1.0000,0.9048,19,4.32
@mchp-mcc/pic-16bit,5.16.0,74,22,0,0,1.0000,0.2292,22,4.30
@aragon/aragen,5.4.3,2,18,0,0,1.0000,0.9000,18,4.29
@matbee/libreoffice-converter,2.6.0,2,17,0,0,1.0000,0.8947,17,4.27
@cdktf/provider-google-beta,16.12.1,2,17,0,0,1.0000,0.8947,17,4.27
bare-sidecar,0.4.5,2,17,0,0,1.0000,0.8947,17,4.27
@aztec/bb.js,4.2.1,85,24,1,0,0.9600,0.2202,25,4.26
@qvac/llm-llamacpp,0.20.1,2,16,0,0,1.0000,0.8889,16,4.24
@kaoto/camel-catalog,0.4.5,2,16,0,0,1.0000,0.8889,16,4.24
@crunchdao/shared-cli,1.1.15,5,6,0,0,1.0000,0.5455,6,4.24
@cpp.js/package-spatialite,1.0.0,6,6,1,2,0.8571,0.5000,7,4.23
@xmtp/node-bindings,1.10.0,2,15,0,0,1.0000,0.8824,15,4.21
react-native-bare-kit,0.14.1,3,7,0,0,1.0000,0.7000,7,4.21
meta-client,0.0.0-c32,3,7,0,0,1.0000,0.7000,7,4.21
@0x/mesh-browser,10.1.0,2,15,0,0,1.0000,0.8824,15,4.21
@zkopru/prisma,1.0.0-beta.2,2,15,0,0,1.0000,0.8824,15,4.21
gulp-letters,3.0.0-rc.9,2,15,0,0,1.0000,0.8824,15,4.21
dolphin888,1.5.1,2,15,1,1,0.9375,0.8824,16,4.21
wasmsnark,0.0.12,3,7,0,0,1.0000,0.7000,7,4.21
poker-evaluator,2.1.1,4,6,0,0,1.0000,0.6000,6,4.19
datamaps,0.5.10,32,12,2,0,0.8571,0.2727,14,4.14
mongo-unit,3.4.0,24,10,0,0,1.0000,0.2941,10,4.11
cypress-browser-extension-plugin,0.1.0,2,11,0,0,1.0000,0.8462,11,4.04
vbb-trips,4.17.0,2,11,0,0,1.0000,0.8462,11,4.04
sx.nexpo.desktop,4.35100.2,21,9,0,0,1.0000,0.3000,9,4.03
@aws-cdk/aws-quicksight,1.204.0,3,6,1,0,0.8571,0.6667,7,4.01
@qvac/embed-llamacpp,0.16.0,2,10,0,0,1.0000,0.8333,10,3.98
@synanetics/fhir-transform,0.10.6,2,10,0,0,1.0000,0.8333,10,3.98
@temporalio/core-bridge,1.16.2,4,5,0,0,1.0000,0.5556,5,3.88
bebop-tools,3.2.3,4,5,0,0,1.0000,0.5556,5,3.88
fixparser,9.4.7,6,5,1,0,0.8333,0.4545,6,3.84
@roninbuilders/contracts,0.6.24,2,8,0,0,1.0000,0.8000,8,3.82
shr-fhir-export,6.8.2,2,8,0,0,1.0000,0.8000,8,3.82
@atrilabs/app-generator,0.0.90,2,8,0,0,1.0000,0.8000,8,3.82
echarts-china-cities-js,0.1.4,2,8,1,0,0.8889,0.8000,9,3.82
react-native-replace-dialer,0.0.12,2,8,1,0,0.8889,0.8000,9,3.82
@kopjra/embedpdf-engines,2.0.0-next.1,2,8,0,0,1.0000,0.8000,8,3.82
@relicx_/kernel,1.1.59,2,8,0,0,1.0000,0.8000,8,3.82
@google-cloud/compute,6.11.0,70,18,1,0,0.9474,0.2045,19,3.79
@cdktf/provider-aws,21.22.1,65,17,0,0,1.0000,0.2073,17,3.77
nodejs-mobile-react-native,18.20.4,7,5,0,0,1.0000,0.4167,5,3.76
lbug,0.14.3,3,5,0,0,1.0000,0.6250,5,3.76
sqlite3-offline,4.3.1,3,5,0,0,1.0000,0.6250,5,3.76
@three-em/node,0.3.25,3,5,0,0,1.0000,0.6250,5,3.76
@shyftnetwork/shyft_ethereumjs-testing,1.3.0,3,5,0,0,1.0000,0.6250,5,3.76
genshin-db,5.2.10,2,7,0,0,1.0000,0.7778,7,3.71
@upscalerjs/esrgan-thick,1.0.0,2,7,0,1,1.0000,0.7778,7,3.71
@unifast/node,0.0.7,2,6,0,0,1.0000,0.7500,6,3.58
embin-linux,2.0.11,2,6,0,0,1.0000,0.7500,6,3.58
@runno/sandbox,0.10.2,2,6,0,0,1.0000,0.7500,6,3.58
bare-gtk,0.1.1,2,6,0,0,1.0000,0.7500,6,3.58
embin-darwin,2.0.11,2,6,0,1,1.0000,0.7500,6,3.58
@layerzerolabs/protocol-starknet-v2,0.2.94,2,5,0,0,1.0000,0.7143,5,3.41
geojson-cn,0.2.5,2,5,0,0,1.0000,0.7143,5,3.41
bbop-manager-golr,0.1.0,2,5,0,0,1.0000,0.7143,5,3.41
bbop-response-barista,0.1.0,6,4,0,0,1.0000,0.4000,4,3.38
icon-blender,1.0.0-beta.4,16,6,0,1,1.0000,0.2727,6,3.36
@milaboratories/tengo-tester,1.6.4,2,4,0,0,1.0000,0.6667,4,3.18
ketchup-lite,2.5.0,2,4,0,0,1.0000,0.6667,4,3.18
@aluckylife/node-ctp-sdk,1.0.1,2,4,0,0,1.0000,0.6667,4,3.18
@op-engineering/op-sqlite,16.0.0,50,11,2,0,0.8462,0.1803,13,3.08
@qvac/onnx,0.15.0,3,3,3,0,0.5000,0.5000,6,3.01
tree-sitter-ocaml,0.24.2,15,5,0,0,1.0000,0.2500,5,3.01
@libphp/amazon-linux-2-v83,0.0.14,4,3,0,0,1.0000,0.4286,3,3.00
leylinesjs,8.2.24,1,207,0,0,1.0000,0.9952,206,3.00
@aws-amplify/data-construct,1.17.3,1,153,0,1,1.0000,0.9935,153,2.99
decocms,2.331.1,1,124,0,0,1.0000,0.9920,124,2.99
@cromwell/admin-panel,3.0.4,1,145,0,1,1.0000,0.9932,144,2.99
@filen/web,0.1.91,1,140,0,0,1.0000,0.9929,140,2.99
profoundjs,7.31.1,1,97,0,0,1.0000,0.9898,97,2.98
@canner/cli,3.2.19,1,109,0,0,1.0000,0.9909,109,2.98
threed-garden,0.17.3-centauri.0,1,104,0,1,1.0000,0.9905,104,2.98
@esri/hub-components,5.420.1,1,112,0,0,1.0000,0.9912,112,2.98
bokehjs,1.4.0,1,68,0,0,1.0000,0.9855,68,2.97
tutti-ch-styleguide,2.4.99,1,71,0,0,1.0000,0.9861,71,2.97
@commonalityco/studio,0.2.57,1,78,0,1,1.0000,0.9873,78,2.97
@hyperbook/markdown,0.66.1,1,67,0,0,1.0000,0.9853,79,2.97
cordage-enterprise,1.2.15,1,81,0,0,1.0000,0.9878,81,2.97
com.phloxui,3.3.0,1,67,0,0,1.0000,0.9853,66,2.97
xlb-main-login,0.0.8,1,71,1,1,0.9861,0.9861,72,2.97
pllan,2026.3.50,1,66,0,0,1.0000,0.9851,66,2.97
