package,avg_dependency_centrality,avg_lines_per_file,avg_function_length,avg_parameters_per_func
@anthropic-ai/claude-code-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@faststore/core,0.0016,53.2948,25.1401,1.0749
node-darwin-x64,0.0000,0.0000,0.0000,0.0000
prismarine-web-client,0.0269,144.5588,2.1405,2.0037
cycletls,0.0000,504.5000,33.5833,1.1667
teradatasql,0.0065,146.5319,23.5000,2.3182
@anthropic-ai/claude-code-win32-arm64,0.0000,0.0000,0.0000,0.0000
@turbo/gen-windows-64,0.0000,0.0000,0.0000,0.0000
@material-symbols-svg/react-rounded,0.0002,60.8648,40.0000,2.0000
@carbon/icons-angular,0.0000,146.3762,9.0090,0.3333
@layerzerolabs/lz-evm-sdk-v2,0.0000,39366.2000,1.3651,1.0635
@bentley/imodeljs-win32-x64,0.0000,0.0000,0.0000,0.0000
bs-platform,0.0058,260.4699,18.5661,1.9940
jqwidgets-scripts-custom,0.0001,94.5788,15.3137,1.3175
ctt-babylon,0.0000,16.6465,0.0000,0.0000
@dcl/explorer,0.0000,4017.0625,1.0642,1.7126
@snyk/vervet,0.0000,0.0000,0.0000,0.0000
happy,0.0786,1018.7619,29.5572,1.0975
coveo-search-ui,0.0008,531.6930,13.8960,1.4012
node-linux-arm64,0.0000,0.0000,0.0000,0.0000
@oh-my-pi/pi-natives,0.1000,368.2000,20.3750,1.0000
@sigmashake/ssg-win32-x64,0.0000,0.0000,0.0000,0.0000
@ip-location-db/geolite2-city,0.0000,0.0000,0.0000,0.0000
emoji-assets,0.0000,2.0000,0.0000,0.0000
china-division,0.0972,92.4444,11.3333,1.6667
nswag-portable,0.0000,0.0000,0.0000,0.0000
genshin-db,0.0072,66.1136,16.6964,1.7679
@bentley/imodeljs-linux-x64,0.0000,0.0000,0.0000,0.0000
@vscode/openssl-prebuilt,0.0000,0.0000,0.0000,0.0000
@kilocode/cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
ax-code-linux-x64,0.0000,0.0000,0.0000,0.0000
@signalapp/libsignal-client,0.0140,50.8548,7.5098,2.2941
@cubic-dev-ai/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
@cubic-dev-ai/cli-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@cubic-dev-ai/cli-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
@eusoumarlon/wa-version,0.0462,50.6923,9.4565,0.9565
@layerzerolabs/lz-evm-sdk-v1,0.0000,15286.0000,1.5441,1.0882
@cubic-dev-ai/cli-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
react-native-filament,0.0030,34.0620,19.4789,1.1264
ax-code-windows-x64,0.0000,0.0000,0.0000,0.0000
claudio-cli-win-x64,0.0000,0.0000,0.0000,0.0000
@f5xc-salesdemos/pi-natives-linux-x64-gnu,0.0000,0.0000,0.0000,0.0000
@omega-edit/server,0.0000,25.5000,1.0000,1.1667
ax-code-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
ax-code-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
ax-code-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
react-native-barcode-builder,0.0333,31.5556,23.0000,0.0000
@kmmao/happy-coder,0.0727,1692.6552,35.3978,1.2778
@cyclonedx/cdxgen-plugins-bin-linuxmusl-amd64,0.0000,1.0000,0.0000,0.0000
ax-code-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
pokeapi-sprites,0.0000,0.0000,0.0000,0.0000
@nativescript/android,0.0000,56.0000,2.3048,2.0667
@f5xc-salesdemos/pi-natives,0.1667,536.6667,18.1000,0.6000
ax-code-linux-arm64,0.0000,0.0000,0.0000,0.0000
@agenshield/cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@onomy/jsi-rn-wallet-core,0.0000,32.0000,3.0000,0.0000
@f5xc-salesdemos/pi-natives-win32-x64-msvc,0.0000,0.0000,0.0000,0.0000
ax-code-windows-arm64,0.0000,0.0000,0.0000,0.0000
@vladmandic/human-models,0.0000,56.0000,39.0000,0.0000
@toolbox-sdk/server-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@syncfusion/blazor-themes,0.0000,0.0000,0.0000,0.0000
react-native-user-identity,0.0000,44.5000,27.0000,0.0000
geojson-places,0.0909,242.6667,14.5246,1.3115
@f5xc-salesdemos/pi-natives-darwin-x64,0.0000,0.0000,0.0000,0.0000
@nativescript/ios,0.0000,0.0000,0.0000,0.0000
hopcoderx-linux-x64,0.0000,0.0000,0.0000,0.0000
geoip-lite2,0.2000,249.4000,18.7794,1.5588
happy-coder,0.0786,1057.3333,29.5886,1.1222
@nutrient-sdk/node,0.0179,758.0000,1.0952,1.7916
hopcoderx-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
hopcoderx-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
@embedded-postgres/darwin-x64,0.0000,14.3333,29.0000,0.0000
@digabi/exam-engine-exams,0.0000,28.0000,4.6667,0.6667
@chrryai/waffles,0.0207,148.8169,40.4483,1.0552
hopcoderx-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
react-native-wgpu,0.0042,22.0000,13.9375,1.0833
slopcode-bin-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
bare-ffmpeg,0.0881,64.6364,3.5000,2.5000
hopcoderx-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
hopcoderx-windows-x64,0.0000,0.0000,0.0000,0.0000
@realtimex/node-llama-cpp-linux-x64-cuda,0.0000,12.0000,6.0000,0.0000
hopcoderx-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@material-symbols-svg/react,0.0002,71.3221,23.3333,1.6667
@realtimex/node-llama-cpp-win-x64-cuda,0.0000,12.0000,6.0000,0.0000
@finbourne/lusid-sdk-angular18,0.0000,54.9114,0.0000,0.0000
hopcoderx-linux-arm64,0.0000,0.0000,0.0000,0.0000
britecharts,0.0034,1365.3185,9.0522,1.3664
@kolbo/kolbo-code-linux-x64,0.0000,304.4000,40.1628,1.4651
