package,file_count,file_fan_in_avg,file_fan_out_avg,func_count,func_fan_in_avg,func_fan_out_avg,class_count,class_fan_in_avg,class_fan_out_avg
dwt,22,0.0000,0.0000,1510,0.0212,0.0232,0,0.0000,0.0000
@buildonspark/spark-sdk,343,0.2041,0.2041,5167,0.0741,0.0892,511,7.6654,7.6673
@atlaspack/rust,8,0.5000,0.5000,1,0.0000,1.0000,11,0.0000,0.0000
@wppconnect/wa-version,28,1.0714,1.0714,53,0.1321,0.2642,0,0.0000,0.0000
@xmtp/node-bindings,9,0.7778,0.7778,6,0.5000,0.6667,17,0.0000,0.0000
@livestore/common-cf,132,0.1364,0.1364,6658,0.0012,0.0069,6522,0.2904,0.2912
aerospike,216,1.6806,1.6806,360,0.2139,0.3611,46,0.0435,0.0435
openapi-directory,12,0.5000,0.5000,7,0.0000,0.1429,2,0.0000,0.0000
gdal-async,296,1.3851,1.3851,965,0.2663,0.3430,225,0.2711,0.2800
@pnpm/macos-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
electron-apps,36,0.8611,0.8611,24,0.2083,0.4583,0,0.0000,0.0000
@aztec/l1-artifacts,155,0.0000,0.0000,13,0.0000,0.0769,0,0.0000,0.0000
rocksdb-native,9,1.7778,1.7778,8,0.0000,0.0000,7,0.2857,0.2857
@mchp-mcc/pic-16bit,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@elasticprojects/abstract-cli,3,0.3333,0.3333,4,0.0000,0.2500,0,0.0000,0.0000
@codemod.com/cli-linux-x64-gnu,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@central-icons-react/all,7,0.2857,0.2857,10,0.0000,0.3000,0,0.0000,0.0000
nw-gyp,24,0.4583,0.4583,62,0.4355,0.5806,0,0.0000,0.0000
@matbee/libreoffice-converter,21,0.0476,0.0476,1094,0.0274,0.0411,91,0.2637,0.2967
react-fluentui-emoji,8839,0.5366,0.5366,4090,0.0000,0.0000,0,0.0000,0.0000
iso3166-2-db,17,1.1176,1.1176,31,0.0323,0.1613,0,0.0000,0.0000
@antimatterhq/antimatter,59,0.8983,0.8983,102,0.9216,1.0882,7,0.7143,0.7143
@factory/cli-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@gitbook/fontawesome-pro,2,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
doc999tor-fast-geoip,4,0.5000,0.5000,10,0.1000,0.3000,0,0.0000,0.0000
@factory/cli-linux-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@github/copilot-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
gm-kilo,1,0.0000,0.0000,3,0.6667,0.6667,0,0.0000,0.0000
stockfish,9,0.2222,0.2222,656,0.0122,0.0229,0,0.0000,0.0000
node-bin-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@zed-industries/codex-acp-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@microsoft/workiq,2,0.5000,0.5000,5,1.2000,1.2000,0,0.0000,0.0000
react-native-signature-capture,12,0.2500,0.2500,2,0.0000,0.5000,3,0.0000,0.0000
gm-codex,16,0.5625,0.5625,170,0.3588,0.4235,1,0.0000,0.0000
prismarine-viewer,59,0.6949,0.6949,436,0.3188,0.3670,23,0.0870,0.1739
@kilocode/cli-windows-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@kilocode/cli-windows-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@rivetkit/engine-cli-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
gm-cc,1,0.0000,0.0000,3,0.6667,0.6667,0,0.0000,0.0000
gm-qwen,14,0.6429,0.6429,149,0.3356,0.3960,1,0.0000,0.0000
@expo/swiftlint,1,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@rivetkit/engine-cli-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
go-ios,2,0.0000,0.0000,9,0.1111,0.2222,0,0.0000,0.0000
@rivetkit/engine-cli-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@mchp-mcc/pic-8bit,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
kuzu,51,0.7059,0.7059,11,0.0000,0.4545,19,0.0000,0.0000
@rivetkit/engine-cli-linux-arm64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@anthropic-ai/claude-code-linux-arm64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@faststore/core,354,0.5650,0.5650,307,0.5081,0.7687,7,0.0000,0.1429
node-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
prismarine-web-client,35,0.9143,0.9143,541,0.1571,0.1719,54,0.0185,0.0185
cycletls,2,0.0000,0.0000,12,0.0000,0.0833,4,3.5000,3.5000
teradatasql,47,0.2979,0.2979,44,0.3864,0.4773,18,0.0000,0.0000
@anthropic-ai/claude-code-win32-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@turbo/gen-windows-64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@material-symbols-svg/react-rounded,7616,0.9975,0.9975,1,0.0000,1.0000,0,0.0000,0.0000
@carbon/icons-angular,8188,0.0000,0.0000,14178,0.0000,0.0000,6350,0.0000,0.0000
@layerzerolabs/lz-evm-sdk-v2,5,0.0000,0.0000,126,0.0000,0.0159,423,0.0000,0.0000
@bentley/imodeljs-win32-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
bs-platform,349,2.0315,2.0315,5179,0.9351,0.9444,2,0.0000,0.0000
jqwidgets-scripts-custom,6605,0.6339,0.6339,3691,0.4888,0.5435,1366,0.0000,0.0000
ctt-babylon,744,0.0000,0.0000,0,0.0000,0.0000,300,0.0000,0.0000
@dcl/explorer,16,0.0000,0.0000,5372,0.0045,0.0052,5,0.0000,0.0000
@snyk/vervet,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
